,avg_ratings,all_ratings,actual_price,with_discount,reviews
473,4.2,"1,109 Ratings","₹13,999","₹9,999", 51 Reviews
474,4,134 Ratings,"₹24,999","₹17,999", 11 Reviews
475,4,"20,839 Ratings","₹24,999","₹15,999"," 2,711 Reviews"
476,4.1,"9,782 Ratings","₹34,999","₹16,990"," 1,376 Reviews"
477,4.1,852 Ratings,"₹24,999","₹15,399", 95 Reviews
478,4.1,"9,782 Ratings","₹34,999","₹16,990"," 1,376 Reviews"
479,4,"20,839 Ratings","₹24,999","₹15,999"," 2,711 Reviews"
480,4.3,"15,416 Ratings","₹19,490","₹15,490"," 1,085 Reviews"
481,4.4,323 Ratings,"₹1,00,999","₹63,999", 29 Reviews
482,4.3,"15,416 Ratings",,"₹17,990"," 1,085 Reviews"
483,4.3,"9,104 Ratings","₹32,999","₹17,345", 804 Reviews
484,4.4,"2,33,143 Ratings",,"₹20,999"," 11,734 Reviews"
485,4.3,"4,830 Ratings",,"₹19,999", 358 Reviews
486,4.4,"2,33,143 Ratings",,"₹20,999"," 11,734 Reviews"
487,4.5,"10,671 Ratings","₹23,499","₹19,499", 531 Reviews
488,4.4,"2,33,143 Ratings",,"₹20,999"," 11,734 Reviews"
489,4.5,"54,374 Ratings",,"₹25,999"," 3,007 Reviews"
490,4.3,"3,653 Ratings",,"₹31,999", 261 Reviews
491,4.5,"10,671 Ratings","₹24,999","₹21,499", 531 Reviews
492,4.4,"10,762 Ratings",,"₹20,999", 579 Reviews
493,4.4,"2,33,143 Ratings",,"₹20,999"," 11,734 Reviews"
494,4.5,"10,671 Ratings","₹23,499","₹19,499", 531 Reviews
495,4.5,"50,575 Ratings","₹27,999","₹23,999"," 2,408 Reviews"
496,4.4,273 Ratings,"₹34,999","₹31,080", 22 Reviews
497,3.3,12 Ratings,"₹8,999","₹6,470", 0 Reviews
498,4.4,"81,154 Ratings",,"₹22,999"," 4,527 Reviews"
499,4.4,"10,762 Ratings",,"₹22,999", 579 Reviews
500,4.3,"4,830 Ratings",,"₹19,999", 358 Reviews
501,4.4,"10,762 Ratings",,"₹22,999", 579 Reviews
502,4.5,"34,207 Ratings","₹27,999","₹24,999"," 2,750 Reviews"
503,4.5,"34,207 Ratings","₹27,999","₹24,999"," 2,750 Reviews"
504,4.4,"21,056 Ratings","₹68,499","₹51,328"," 1,675 Reviews"
505,4.3,"2,285 Ratings","₹18,819","₹9,499", 135 Reviews
506,4.3,"2,285 Ratings","₹18,999","₹9,498", 135 Reviews
507,4.2,"9,929 Ratings",,"₹1,849", 822 Reviews
508,4.2,651 Ratings,"₹20,499","₹12,999", 39 Reviews
509,4.3,"68,422 Ratings","₹16,999","₹10,499"," 6,005 Reviews"
510,4.2,"2,596 Ratings","₹22,499","₹19,999", 231 Reviews
511,4.1,405 Ratings,,"₹23,999", 43 Reviews
512,4.2,475 Ratings,"₹23,999","₹17,299", 42 Reviews
513,4.3,"1,968 Ratings","₹19,990","₹15,499", 109 Reviews
514,4.4,"21,056 Ratings","₹85,999","₹52,999"," 1,675 Reviews"
515,4.5,429 Ratings,,"₹1,31,999", 37 Reviews
516,4.2,"74,699 Ratings",,"₹12,499"," 5,178 Reviews"
517,4.3,"9,104 Ratings","₹32,999","₹17,345", 804 Reviews
518,4,184 Ratings,"₹22,999","₹15,415", 9 Reviews
519,4.4,"14,853 Ratings","₹13,999","₹9,999", 472 Reviews
520,4.3,"2,12,390 Ratings",,"₹14,999"," 10,811 Reviews"
521,4.4,"17,423 Ratings","₹14,999","₹10,999", 543 Reviews
522,4.2,471 Ratings,"₹13,999","₹10,248", 22 Reviews
523,4.5,"17,700 Ratings","₹16,999","₹12,999"," 2,484 Reviews"
524,4.2,471 Ratings,"₹13,999","₹10,248", 22 Reviews
525,4.2,"67,519 Ratings","₹15,999","₹9,999"," 3,934 Reviews"
526,4.4,"2,33,143 Ratings",,"₹20,999"," 11,734 Reviews"
527,4.3,602 Ratings,"₹16,999","₹13,499", 29 Reviews
528,4.6,"79,739 Ratings","₹89,999","₹44,999"," 5,411 Reviews"
529,4.6,"79,739 Ratings","₹89,999","₹44,999"," 5,411 Reviews"
530,4.6,"79,739 Ratings","₹95,999","₹49,999"," 5,411 Reviews"
531,4.6,"79,739 Ratings","₹95,999","₹49,999"," 5,411 Reviews"
532,4.6,"79,739 Ratings","₹89,999","₹44,999"," 5,411 Reviews"
533,4.6,"79,739 Ratings","₹95,999","₹49,999"," 5,411 Reviews"
534,4.6,"79,739 Ratings","₹95,999","₹49,999"," 5,411 Reviews"
535,4.5,"34,465 Ratings","₹24,999","₹19,999"," 2,206 Reviews"
536,4,"1,143 Ratings","₹10,999","₹7,980", 52 Reviews
537,4.2,971 Ratings,"₹9,500","₹7,290", 40 Reviews
538,4,"1,143 Ratings","₹10,999","₹7,990", 52 Reviews
539,4.2,971 Ratings,"₹9,499","₹7,999", 40 Reviews
540,4.1,99 Ratings,"₹10,999","₹8,399", 2 Reviews
541,4,57 Ratings,"₹9,999","₹8,499", 8 Reviews
